General Offense Number,Longitude,Latitude,Event Clearance Code,Event Clearance Group,Census Tract,Incident Location,Zone/Beat
201619995,-122.32082,47.61699,041,"THREATS, HARASSMENT",8400.1000,"(47.61699, -122.32082)",E2
201620532,-122.31678,47.60219,041,"THREATS, HARASSMENT",8600.3009,"(47.60219, -122.31678)",G1
201620640,-122.33421,47.558865,041,"THREATS, HARASSMENT",9300.3197,"(47.558865, -122.33421)",O2
2016439739,-122.33593,47.611904,041,"THREATS, HARASSMENT",8200.1003,"(47.611904, -122.33593)",M2
201620787,-122.31688,47.708553,041,"THREATS, HARASSMENT",1200.1006,"(47.708553, -122.31688)",L1
201621151,-122.33617,47.616055,041,"THREATS, HARASSMENT",7300.3022,"(47.616055, -122.33617)",D2
201621192,-122.28235,47.537045,041,"THREATS, HARASSMENT",11001.2008,"(47.537045, -122.28235)",S1
201623394,-122.31737,47.674976,041,"THREATS, HARASSMENT",4400.2003,"(47.674976, -122.31737)",U1
201625237,-122.34457,47.694183,041,"THREATS, HARASSMENT",1800.3010,"(47.694183, -122.34457)",N3
201625265,-122.329056,47.578766,041,"THREATS, HARASSMENT",9300.3019,"(47.578766, -122.329056)",O2
201625475,-122.30424,47.585007,041,"THREATS, HARASSMENT",9400.3004,"(47.585007, -122.30424)",R1
201625529,-122.33245,47.61061,041,"THREATS, HARASSMENT",8200.1022,"(47.61061, -122.33245)",M2
2016228941,-122.31416,47.670345,041,"THREATS, HARASSMENT",4400.2020,"(47.670345, -122.31416)",U1
201626039,-122.33173,47.603127,041,"THREATS, HARASSMENT",8100.2040,"(47.603127, -122.33173)",K1
2016277782,-122.33421,47.553795,041,"THREATS, HARASSMENT",10900.2035,"(47.553795, -122.33421)",O2
201731420,-122.26803,47.51985,041,"THREATS, HARASSMENT",11800.6020,"(47.51985, -122.26803)",S3
2016300329,-122.33565,47.607407,041,"THREATS, HARASSMENT",8100.2020,"(47.607407, -122.33565)",M3
201627221,-122.331085,47.602413,041,"THREATS, HARASSMENT",8100.2043,"(47.602413, -122.331085)",K2
201627498,-122.35903,47.5657,041,"THREATS, HARASSMENT",9900.2006,"(47.5657, -122.35903)",F1
2016277516,-122.3553,47.689476,041,"THREATS, HARASSMENT",2900.1007,"(47.689476, -122.3553)",J2
2016440352,-122.293755,47.538914,041,"THREATS, HARASSMENT",11002.1017,"(47.538914, -122.293755)",S1
201629406,-122.31066,47.61538,041,"THREATS, HARASSMENT",7900.4001,"(47.61538, -122.31066)",C1
201629543,-122.3014,47.614727,041,"THREATS, HARASSMENT",7700.3006,"(47.614727, -122.3014)",C3
2016382831,-122.36287,47.534252,041,"THREATS, HARASSMENT",10701.2015,"(47.534252, -122.36287)",F1
2016440175,-122.31024,47.60673,041,"THREATS, HARASSMENT",8700.1021,"(47.60673, -122.31024)",G2
201631091,-122.33081,47.600464,041,"THREATS, HARASSMENT",9200.2028,"(47.600464, -122.33081)",K3
201630978,-122.333885,47.60716,041,"THREATS, HARASSMENT",8100.2022,"(47.60716, -122.333885)",K1
201631175,-122.38055,47.66945,041,"THREATS, HARASSMENT",4700.3019,"(47.66945, -122.38055)",B1
201631900,-122.32227,47.67952,041,"THREATS, HARASSMENT",3600.2030,"(47.67952, -122.32227)",J3
201632170,-122.32962,47.543888,041,"THREATS, HARASSMENT",10900.2102,"(47.543888, -122.32962)",O3
2016172009,-122.365204,47.52468,041,"THREATS, HARASSMENT",11402.1011,"(47.52468, -122.365204)",F2
2016440054,-122.33512,47.61018,041,"THREATS, HARASSMENT",8200.1020,"(47.61018, -122.33512)",M3
201710257,-122.29361,47.57629,041,"THREATS, HARASSMENT",9500.4015,"(47.57629, -122.29361)",R2
201633621,-122.31722,47.599186,041,"THREATS, HARASSMENT",9100.1004,"(47.599186, -122.31722)",G3
2013418908,-122.313226591,47.657574534,041,"THREATS, HARASSMENT",5301.4001,"(47.657574534, -122.313226591)",U2
2013419208,-122.304405342,47.607167843,041,"THREATS, HARASSMENT",8700.1013,"(47.607167843, -122.304405342)",G1
2013419246,-122.348712032,47.703614776,041,"THREATS, HARASSMENT",1300.4012,"(47.703614776, -122.348712032)",N2
2013419261,-122.376210671,47.675635845,041,"THREATS, HARASSMENT",3300.3002,"(47.675635845, -122.376210671)",B2
2013419605,-122.321998567,47.623701747,041,"THREATS, HARASSMENT",7400.1005,"(47.623701747, -122.321998567)",C1
2016300305,-122.360634,47.623943,041,"THREATS, HARASSMENT",7100.1001,"(47.623943, -122.360634)",Q3
2013419935,-122.321998567,47.623701747,041,"THREATS, HARASSMENT",7400.1005,"(47.623701747, -122.321998567)",C1
2013420135,-122.307299066,47.626851776,041,"THREATS, HARASSMENT",6400.4005,"(47.626851776, -122.307299066)",C1
2013420305,-122.305691098,47.604331473,041,"THREATS, HARASSMENT",8700.2004,"(47.604331473, -122.305691098)",G1
201638305,-122.331085,47.602413,041,"THREATS, HARASSMENT",8100.2043,"(47.602413, -122.331085)",K2
201635491,-122.3339,47.60172,041,"THREATS, HARASSMENT",8100.1035,"(47.60172, -122.3339)",K2
2016300760,-122.31778,47.65837,041,"THREATS, HARASSMENT",5301.4004,"(47.65837, -122.31778)",U2
201639916,-122.31683,47.614105,041,"THREATS, HARASSMENT",7500.4006,"(47.614105, -122.31683)",E2
201641179,-122.3328,47.61184,041,"THREATS, HARASSMENT",8200.1010,"(47.61184, -122.3328)",M2
201641427,-122.32292,47.610264,041,"THREATS, HARASSMENT",8400.2014,"(47.610264, -122.32292)",E3
201642543,-122.290855,47.59664,041,"THREATS, HARASSMENT",8900.1015,"(47.59664, -122.290855)",G3
201642704,-122.37621,47.668663,041,"THREATS, HARASSMENT",4700.3020,"(47.668663, -122.37621)",B1
201642773,-122.33329,47.706844,041,"THREATS, HARASSMENT",1200.5013,"(47.706844, -122.33329)",N3
2013424307,-122.31550035,47.65908266,041,"THREATS, HARASSMENT",5301.3007,"(47.65908266, -122.31550035)",U2
2016145116,-122.342285,47.634987,041,"THREATS, HARASSMENT",6700.1015,"(47.634987, -122.342285)",D2
2016229080,-122.29525,47.721092,041,"THREATS, HARASSMENT",100.5004,"(47.721092, -122.29525)",L3
2016301416,-122.37614,47.636337,041,"THREATS, HARASSMENT",5802.2003,"(47.636337, -122.37614)",Q1
201710263,-122.324585,47.60957,041,"THREATS, HARASSMENT",8300.1006,"(47.60957, -122.324585)",E3
2016228909,-122.409325,47.66862,041,"THREATS, HARASSMENT",5700.1004,"(47.66862, -122.409325)",Q1
2016300725,-122.341545,47.61278,041,"THREATS, HARASSMENT",7200.1067,"(47.61278, -122.341545)",M2
2016423740,-122.31189,47.670082,041,"THREATS, HARASSMENT",4400.102,"(47.670082, -122.31189)",U1
2016440320,-122.32128,47.61095,041,"THREATS, HARASSMENT",8400.2009,"(47.61095, -122.32128)",E3
2016243349,-122.32393,47.6141,041,"THREATS, HARASSMENT",8400.1010,"(47.6141, -122.32393)",E3
201750207,-122.31312,47.66218,041,"THREATS, HARASSMENT",5301.2010,"(47.66218, -122.31312)",U2
2016339916,-122.33441,47.60244,041,"THREATS, HARASSMENT",8100.1036,"(47.60244, -122.33441)",K1
2016243780,-122.331085,47.602413,041,"THREATS, HARASSMENT",8100.2043,"(47.602413, -122.331085)",K2
2016382826,-122.377785,47.521515,041,"THREATS, HARASSMENT",11500.2026,"(47.521515, -122.377785)",W3
2016278058,-122.34175,47.607258,041,"THREATS, HARASSMENT",8100.1050,"(47.607258, -122.34175)",M1
2016151320,-122.315254,47.664013,041,"THREATS, HARASSMENT",5301.2004,"(47.664013, -122.315254)",U2
2016458344,-122.320496,47.705395,041,"THREATS, HARASSMENT",1200.3003,"(47.705395, -122.320496)",L2
2016301134,-122.26158,47.520264,041,"THREATS, HARASSMENT",11800.2007,"(47.520264, -122.26158)",S3
2016152408,-122.3409,47.612396,041,"THREATS, HARASSMENT",7200.1067,"(47.612396, -122.3409)",M2
2016440392,-122.37679,47.685966,041,"THREATS, HARASSMENT",3000.3004,"(47.685966, -122.37679)",J2
2016382632,-122.39203,47.53217,041,"THREATS, HARASSMENT",11600.6022,"(47.53217, -122.39203)",W3
2016352195,-122.25732,47.51222,041,"THREATS, HARASSMENT",11900.1015,"(47.51222, -122.25732)",S3
2016398873,-122.33531,47.612892,041,"THREATS, HARASSMENT",8200.1002,"(47.612892, -122.33531)",M2
201731971,-122.33482,47.600044,041,"THREATS, HARASSMENT",9200.2021,"(47.600044, -122.33482)",K2
201779613,-122.32085,47.656708,041,"THREATS, HARASSMENT",5200.2009,"(47.656708, -122.32085)",U2
2016382938,-122.32526,47.653633,041,"THREATS, HARASSMENT",5200.3024,"(47.653633, -122.32526)",B3
2016356316,-122.30329,47.62487,041,"THREATS, HARASSMENT",7600.1000,"(47.62487, -122.30329)",C2
201710752,-122.37569,47.69449,041,"THREATS, HARASSMENT",1600.3005,"(47.69449, -122.37569)",J1
2016358322,-122.33594,47.6907,041,"THREATS, HARASSMENT",1800.1013,"(47.6907, -122.33594)",N3
2016359959,-122.35591,47.682793,041,"THREATS, HARASSMENT",2900.2008,"(47.682793, -122.35591)",J2
201779576,-122.38778,47.583496,041,"THREATS, HARASSMENT",9600.2013,"(47.583496, -122.38778)",W1
2016423283,-122.33825,47.610245,041,"THREATS, HARASSMENT",8100.2009,"(47.610245, -122.33825)",M3
2016384069,-122.2814,47.55455,041,"THREATS, HARASSMENT",10300.5017,"(47.55455, -122.2814)",R3
201779652,-122.324615,47.708603,041,"THREATS, HARASSMENT",1200.4011,"(47.708603, -122.324615)",L2
201731872,-122.27715,47.63395,041,"THREATS, HARASSMENT",6300.2002,"(47.63395, -122.27715)",C3
2016443753,-122.36048,47.523994,041,"THREATS, HARASSMENT",11402.1003,"(47.523994, -122.36048)",F2
2016423476,-122.29583,47.718266,041,"THREATS, HARASSMENT",700.1010,"(47.718266, -122.29583)",L3
2016423638,-122.293755,47.538914,041,"THREATS, HARASSMENT",11002.1017,"(47.538914, -122.293755)",S1
2016383949,-122.32132,47.615105,041,"THREATS, HARASSMENT",8400.1007,"(47.615105, -122.32132)",E2
2016444036,-122.293755,47.538914,041,"THREATS, HARASSMENT",11002.1017,"(47.538914, -122.293755)",S1
2016423726,-122.32539,47.529835,041,"THREATS, HARASSMENT",11200.2044,"(47.529835, -122.32539)",F3
2016385685,-122.301476,47.713135,041,"THREATS, HARASSMENT",700.2007,"(47.713135, -122.301476)",L1
2016399054,-122.330345,47.59999,041,"THREATS, HARASSMENT",9200.2034,"(47.59999, -122.330345)",K3
201710773,-122.29615,47.61704,041,"THREATS, HARASSMENT",7700.3000,"(47.61704, -122.29615)",C3
201710823,-122.32172,47.612324,041,"THREATS, HARASSMENT",8400.2008,"(47.612324, -122.32172)",E3
201711040,-122.292496,47.72101,041,"THREATS, HARASSMENT",100.5005,"(47.72101, -122.292496)",L3
201732058,-122.34893,47.618576,041,"THREATS, HARASSMENT",7200.1072,"(47.618576, -122.34893)",Q3
201732430,-122.31941,47.604782,041,"THREATS, HARASSMENT",8600.2017,"(47.604782, -122.31941)",G1
2016384892,-122.300125,47.710026,041,"THREATS, HARASSMENT",1000.1007,"(47.710026, -122.300125)",L3
201710933,-122.3342,47.590313,041,"THREATS, HARASSMENT",9300.2030,"(47.590313, -122.3342)",K2
2016443597,-122.324615,47.708603,041,"THREATS, HARASSMENT",1200.4011,"(47.708603, -122.324615)",L2
2016385034,-122.29325,47.538532,041,"THREATS, HARASSMENT",11002.1017,"(47.538532, -122.29325)",S1
201779876,-122.29615,47.61704,041,"THREATS, HARASSMENT",7700.1025,"(47.61704, -122.29615)",C3
201733239,-122.32866,47.61151,041,"THREATS, HARASSMENT",8300.2017,"(47.61151, -122.32866)",E3
201732434,-122.346725,47.612328,041,"THREATS, HARASSMENT",8002.2005,"(47.612328, -122.346725)",D1
2016443853,-122.3478,47.612377,041,"THREATS, HARASSMENT",8002.2010,"(47.612377, -122.3478)",D1
201732439,-122.333,47.62369,041,"THREATS, HARASSMENT",7300.1016,"(47.62369, -122.333)",D3
2016440971,-122.38616,47.670914,041,"THREATS, HARASSMENT",4700.4002,"(47.670914, -122.38616)",B1
201755395,-122.3447,47.7058,041,"THREATS, HARASSMENT",1300.2002,"(47.7058, -122.3447)",N3
2016458708,-122.287964,47.667603,041,"THREATS, HARASSMENT",4200.4028,"(47.667603, -122.287964)",U3
201749931,-122.314224,47.664005,041,"THREATS, HARASSMENT",5301.2003,"(47.664005, -122.314224)",U2
2016424573,-122.29364,47.721985,041,"THREATS, HARASSMENT",100.5005,"(47.721985, -122.29364)",L3
201710964,-122.29402,47.716457,041,"THREATS, HARASSMENT",700.1006,"(47.716457, -122.29402)",L3
2016424570,-122.27686,47.548187,041,"THREATS, HARASSMENT",10300.2012,"(47.548187, -122.27686)",R3
201710856,-122.321396,47.588223,041,"THREATS, HARASSMENT",9300.1042,"(47.588223, -122.321396)",O1
2016458830,-122.30163,47.705452,041,"THREATS, HARASSMENT",1000.2001,"(47.705452, -122.30163)",L3
201710651,-122.339386,47.61268,041,"THREATS, HARASSMENT",7200.1065,"(47.61268, -122.339386)",M2
2016399982,-122.36688,47.652405,041,"THREATS, HARASSMENT",5900.1027,"(47.652405, -122.36688)",Q2
2016399994,-122.317276,47.588436,041,"THREATS, HARASSMENT",9400.1002,"(47.588436, -122.317276)",R1
2016384208,-122.295555,47.731773,041,"THREATS, HARASSMENT",100.4002,"(47.731773, -122.295555)",L1
2016458911,-122.359474,47.70783,041,"THREATS, HARASSMENT",1400.2007,"(47.70783, -122.359474)",N1
2016399332,-122.38638,47.561234,041,"THREATS, HARASSMENT",10500.4003,"(47.561234, -122.38638)",W2
2016441681,-122.31267,47.56628,041,"THREATS, HARASSMENT",10001.2000,"(47.56628, -122.31267)",R1
201732936,-122.328964,47.599617,041,"THREATS, HARASSMENT",9200.1015,"(47.599617, -122.328964)",K3
2016461740,-122.33825,47.610245,041,"THREATS, HARASSMENT",8100.2009,"(47.610245, -122.33825)",M3
201710959,-122.366806,47.711246,041,"THREATS, HARASSMENT",1400.4000,"(47.711246, -122.366806)",N1
2016425331,-122.3749,47.668667,041,"THREATS, HARASSMENT",4700.3021,"(47.668667, -122.3749)",B1
2016459084,-122.32287,47.56379,041,"THREATS, HARASSMENT",9300.3181,"(47.56379, -122.32287)",O2
201710890,-122.386505,47.54305,041,"THREATS, HARASSMENT",10600.3012,"(47.54305, -122.386505)",W3
201755110,-122.3749,47.668667,041,"THREATS, HARASSMENT",4700.3021,"(47.668667, -122.3749)",B1
